compte;libelle;categorie;text
7;Sympatholyse chimique étage lombaire;examen_complementaire;Sympatholyse chimique étage lombaire
7;Sympatholyse chimique étage thoracique;examen_complementaire;Sympatholyse chimique étage thoracique
7;Synoviorthèse des articulations profondes à l'acide osmique;examen_complementaire;Synoviorthèse des articulations profondes à l'acide osmique
7;Talon;examen_complementaire;Talon
7;Tarse comprenant l'acte d'injection de produit de contraste;examen_complementaire;Tarse comprenant l'acte d'injection de produit de contraste
7;TDM abdominale;examen_complementaire;TDM abdominale
7;TDM abdomino-pelvienne;examen_complementaire;TDM abdomino-pelvienne
7;TDM articulaire (quel que soit le type d'articulation);examen_complementaire;TDM articulaire (quel que soit le type d'articulation)
7;TDM cérébrale;examen_complementaire;TDM cérébrale
7;TDM cervico-thoracique;examen_complementaire;TDM cervico-thoracique
7;TDM de deux régions craniennes;examen_complementaire;TDM de deux régions craniennes
7;TDM de deux régions du rachis;examen_complementaire;TDM de deux régions du rachis
7;TDM de la charnière cervico-occipitale, cervico-dorsale, dorso-lombaire, lombo-sacrée;examen_complementaire;TDM de la charnière cervico-occipitale, cervico-dorsale, dorso-lombaire, lombo-sacrée
7;TDM de l'articulation temporo-mandibulaire;examen_complementaire;TDM de l'articulation temporo-mandibulaire
7;TDM de larynx;examen_complementaire;TDM de larynx
7;TDM de mensuration;examen_complementaire;TDM de mensuration
7;TDM de pharynx;examen_complementaire;TDM de pharynx
7;TDM de repérage;examen_complementaire;TDM de repérage
7;TDM de simulation;examen_complementaire;TDM de simulation
7;TDM des rochers;examen_complementaire;TDM des rochers
7;TDM du bassin ou d'un segment de membre (humérus, fémur, jambe);examen_complementaire;TDM du bassin ou d'un segment de membre (humérus, fémur, jambe)
7;TDM du cavum;examen_complementaire;TDM du cavum
7;TDM du corps entier (polytraumatisé ou de trois régions ou plus);examen_complementaire;TDM du corps entier (polytraumatisé ou de trois régions ou plus)
7;TDM du cou;examen_complementaire;TDM du cou
7;TDM du crane et du rachis cervical;examen_complementaire;TDM du crane et du rachis cervical
7;TDM du massif facial;examen_complementaire;TDM du massif facial
7;TDM du rachis cervical ou dorsal ou lombaire;examen_complementaire;TDM du rachis cervical ou dorsal ou lombaire
7;TDM du rachis entier (enfant);examen_complementaire;TDM du rachis entier (enfant)
7;TDM orbitaire;examen_complementaire;TDM orbitaire
7;TDM pelvienne;examen_complementaire;TDM pelvienne
7;TDM thoracique (standart ou haute résolution);examen_complementaire;TDM thoracique (standart ou haute résolution)
7;TDM thoraco-abdominale;examen_complementaire;TDM thoraco-abdominale
7;Télémétrie du membre inférieur;examen_complementaire;Télémétrie du membre inférieur
7;Télémétrie du membre supérieur;examen_complementaire;Télémétrie du membre supérieur
7;Télémétrie du rachis : une incidence;examen_complementaire;Télémétrie du rachis : une incidence
7;Télémétrie membre inférieur adulte : une incidence;examen_complementaire;Télémétrie membre inférieur adulte : une incidence
7;Télémétrie membre inférieur enfant: une incidence;examen_complementaire;Télémétrie membre inférieur enfant: une incidence
7;Téléradiographie de crâne: Par incidence supplémentaire;examen_complementaire;Téléradiographie de crâne: Par incidence supplémentaire
7;Téléradiographie de crâne: Une incidence;examen_complementaire;Téléradiographie de crâne: Une incidence
7;Ténotomie+infiltration tendineuse;examen_complementaire;Ténotomie+infiltration tendineuse
7;Thrombo-aspiration;examen_complementaire;Thrombo-aspiration
7;Thrombolyse intra artérielle;examen_complementaire;Thrombolyse intra artérielle
7;Traitement percutané du kyste rénal;examen_complementaire;Traitement percutané du kyste rénal
7;Transit du grêle;examen_complementaire;Transit du grêle
7;Transit gastro-duodénal prolongé sur le grêle;examen_complementaire;Transit gastro-duodénal prolongé sur le grêle
7;Transit Oeso-gastro-duodénal;examen_complementaire;Transit Oeso-gastro-duodénal
7;Transit Oesophagien;examen_complementaire;Transit Oesophagien
7;Transit pharyngo-oesophagien;examen_complementaire;Transit pharyngo-oesophagien
7;Transport Medicalisé;examen_complementaire;Transport Medicalisé
7;Uretrocystographie injection non comprise;examen_complementaire;Uretrocystographie injection non comprise
7;Urographie intraveineuse (y compris ASP), injection non comprise (Adulte);examen_complementaire;Urographie intraveineuse (y compris ASP), injection non comprise (Adulte)
7;Urographie intraveineuse (y compris ASP), injection non comprise (Enfant);examen_complementaire;Urographie intraveineuse (y compris ASP), injection non comprise (Enfant)
7;Uroscanner;examen_complementaire;Uroscanner
7;VO2 max;examen_complementaire;VO2 max
