libelle;text;forme;compte
CHLORURE DE SODIUM 0.9% Sol.Inj.P.Perf. Poche en PVC  500ml;CHLORURE DE SODIUM 0.9% Sol.Inj.P.Perf. Poche en PVC  500ml;injection;7
CHLORURE DE SODIUM 0.9% UNIMED Sol.Inj.P.Perf. Poche Multicouche /100ml;CHLORURE DE SODIUM 0.9% UNIMED Sol.Inj.P.Perf. Poche Multicouche /100ml;injection;7
CHLORURE DE SODIUM 0.9% UNIMED Sol.Inj.P.Perf. Poche Multicouche/500ml;CHLORURE DE SODIUM 0.9% UNIMED Sol.Inj.P.Perf. Poche Multicouche/500ml;injection;7
CHLORURE DE SODIUM 0.9% UNIMED Sol.Inj.Perf. Poche Multicouche/1000ml;CHLORURE DE SODIUM 0.9% UNIMED Sol.Inj.Perf. Poche Multicouche/1000ml;injection;7
CHLORURE DE SODIUM 10% Sol.Inj.P.Perf. Fl 500ml;CHLORURE DE SODIUM 10% Sol.Inj.P.Perf. Fl 500ml;injection;7
CHLORURE DE SODIUM 10% UNIMED Sol. Inj. Bt 10/10ml;CHLORURE DE SODIUM 10% UNIMED Sol. Inj. Bt 10/10ml;injection;7
CHLORURE DE SODIUM 10% UNIMED Sol. Inj. Bt 100/10ml;CHLORURE DE SODIUM 10% UNIMED Sol. Inj. Bt 100/10ml;injection;7
CHLORURE DE SODIUM PROAMP. 0.2gr/ml (20%) Sol. Perf. Bt 50/10ml;CHLORURE DE SODIUM PROAMP. 0.2gr/ml (20%) Sol. Perf. Bt 50/10ml;autre;7
CHONDROSULF 400mg Gél. Bt 84;CHONDROSULF 400mg Gél. Bt 84;gelule;7
CIAPLUS 10mg Comp.Pell. Bt 4;CIAPLUS 10mg Comp.Pell. Bt 4;comprime;7
CIAPLUS 10mg Comp.Pell. Bt 8;CIAPLUS 10mg Comp.Pell. Bt 8;comprime;7
CIAPLUS 20mg Comp.Pell. Bt 4;CIAPLUS 20mg Comp.Pell. Bt 4;comprime;7
CIAPLUS 20mg Comp.Pell. Bt 8;CIAPLUS 20mg Comp.Pell. Bt 8;comprime;7
CICADERMA Pde.Derm.Tb 30gr;CICADERMA Pde.Derm.Tb 30gr;pommade;7
CICLOVIRAX 5% Crème Derm. Tb 5gr;CICLOVIRAX 5% Crème Derm. Tb 5gr;pommade;7
CIDOMYCINE 40 40mg/2ml Sol.Inj. Bt 5/2ml;CIDOMYCINE 40 40mg/2ml Sol.Inj. Bt 5/2ml;injection;7
CIDOMYCINE 80mg Sol. Inj. Bt 100/2ml;CIDOMYCINE 80mg Sol. Inj. Bt 100/2ml;injection;7
CIDOMYCINE 80mg/2ml Sol inj Bt 5/2ml;CIDOMYCINE 80mg/2ml Sol inj Bt 5/2ml;injection;7
CIFLOXET 200 200mg/100ml Sol.Inj. Bt 6Fl/100ml;CIFLOXET 200 200mg/100ml Sol.Inj. Bt 6Fl/100ml;injection;7
CIMZIA 200mg Sol.Inj. Bt 2 Ser./ml +2 tampons alcoolisés (F);CIMZIA 200mg Sol.Inj. Bt 2 Ser./ml +2 tampons alcoolisés (F);injection;7
CINCOR 10 10mg Comp.Pell.Séc. Bt 30;CINCOR 10 10mg Comp.Pell.Séc. Bt 30;comprime;7
CINCOR 10 10mg Comp.Pell.Séc. Bt 90;CINCOR 10 10mg Comp.Pell.Séc. Bt 90;comprime;7
CINCOR 10mg Comp.Pell.Séc. Bt 30;CINCOR 10mg Comp.Pell.Séc. Bt 30;comprime;7
CINCOR 2.5 2.5mg Comp.Pell.Séc. Bt 30;CINCOR 2.5 2.5mg Comp.Pell.Séc. Bt 30;comprime;7
CINCOR 5mg Comp.Pell.Séc. Bt 30;CINCOR 5mg Comp.Pell.Séc. Bt 30;comprime;7
CINKASA 500mg Suppo. Bt 15;CINKASA 500mg Suppo. Bt 15;suppositoire;7
CINODERM Pde. Derm. Tb 10gr;CINODERM Pde. Derm. Tb 10gr;pommade;7
CIPRACTINE 4mg Comp. Bt 30;CIPRACTINE 4mg Comp. Bt 30;comprime;7
CIPRO 0.3% Collyre Fl 5ml;CIPRO 0.3% Collyre Fl 5ml;gouttes;7
CIPRO 500 500mg Comp.Enr. Bt 14;CIPRO 500 500mg Comp.Enr. Bt 14;comprime;7
CIPRO 750 750mg Comp enr Bt 14;CIPRO 750 750mg Comp enr Bt 14;comprime;7
CIPROFLEX 500 500mg Comp.Pell. Bt 14;CIPROFLEX 500 500mg Comp.Pell. Bt 14;comprime;7
CIPROJECT 200mg/100ml Sol.Inj.P.Perf. Poche 100ml;CIPROJECT 200mg/100ml Sol.Inj.P.Perf. Poche 100ml;injection;7
CIPROLON 500mg Comp. Pell. Séc. Bt 14;CIPROLON 500mg Comp. Pell. Séc. Bt 14;comprime;7
CIPROLON 750 750mg Comp.Pell.Séc. Bt 14;CIPROLON 750 750mg Comp.Pell.Séc. Bt 14;comprime;7
CIPTADINE 4mg Comp.Enr.Séc. Bt 30;CIPTADINE 4mg Comp.Enr.Séc. Bt 30;comprime;7
CISATREX 2mg/ml Sol.Inj. Bt 5Amp./5ml (F);CISATREX 2mg/ml Sol.Inj. Bt 5Amp./5ml (F);injection;7
CISPLATINE MYLAN 25mg Sol.Inj. Bt 1Fl/25ml;CISPLATINE MYLAN 25mg Sol.Inj. Bt 1Fl/25ml;injection;7
CITRATE DE CAFEINE 25mg/ml Sol.Inj./Buv. Bt 10 Amp/2ml;CITRATE DE CAFEINE 25mg/ml Sol.Inj./Buv. Bt 10 Amp/2ml;injection;7
CLAMOXYL 125mg/5ml Pdre.P.Susp.Or. Fl 60ml;CLAMOXYL 125mg/5ml Pdre.P.Susp.Or. Fl 60ml;poudre;7
CLAMOXYL 250mg Pdre.P.Susp.Or. Fl 60ml;CLAMOXYL 250mg Pdre.P.Susp.Or. Fl 60ml;poudre;7
CLAMOXYL 500mg Gél. Bt 12;CLAMOXYL 500mg Gél. Bt 12;gelule;7
CLAMOXYL 500mg/5ml Pdre.P.Susp.Or. Fl 60ml;CLAMOXYL 500mg/5ml Pdre.P.Susp.Or. Fl 60ml;poudre;7
CLAMOXYL Dispers. 500mg Comp. Soluble Bt 12;CLAMOXYL Dispers. 500mg Comp. Soluble Bt 12;comprime;7
CLAMOXYL Dispersible 1gr Comp. Soluble Bt 12;CLAMOXYL Dispersible 1gr Comp. Soluble Bt 12;comprime;7
CLAMYCINE 250mg Comp pell. Séc. Bt 14;CLAMYCINE 250mg Comp pell. Séc. Bt 14;comprime;7
CLAMYCINE 500mg Comp pell. Séc. Bt 14;CLAMYCINE 500mg Comp pell. Séc. Bt 14;comprime;7
CLARID  50mg/ml Gle. Susp. Buv. Fl 60ml + Ser. Doseuse;CLARID  50mg/ml Gle. Susp. Buv. Fl 60ml + Ser. Doseuse;sirop;7
CLARID 250mg Comp.Pell. Bt 10;CLARID 250mg Comp.Pell. Bt 10;comprime;7
CLARID 250mg Comp.Pell. Bt 14;CLARID 250mg Comp.Pell. Bt 14;comprime;7
CLARID 25mg/ml Gle.Susp. Buv. Fl 60ml + Ser. Doseuse;CLARID 25mg/ml Gle.Susp. Buv. Fl 60ml + Ser. Doseuse;sirop;7
CLARID 500mg Comp. Pell. Bt 14;CLARID 500mg Comp. Pell. Bt 14;comprime;7
CLARID 50mg/ml Glé. Susp.Buv. Fl 60ml +Ser.Doseuse;CLARID 50mg/ml Glé. Susp.Buv. Fl 60ml +Ser.Doseuse;sirop;7
CLARIMAX 250mg Comp.Pell. Bt 14;CLARIMAX 250mg Comp.Pell. Bt 14;comprime;7
CLARIMAX 500mg Comp.Pell. Bt 14;CLARIMAX 500mg Comp.Pell. Bt 14;comprime;7
CLARITHRO 250mg Comp Pell. Bt 10;CLARITHRO 250mg Comp Pell. Bt 10;comprime;7
CLARITHROMYCINE ZENTIVA 500mg Comp.Pell. Bt 14;CLARITHROMYCINE ZENTIVA 500mg Comp.Pell. Bt 14;comprime;7
CLARIUS 0.5mg/ml Sol.Buv. Fl 150ml;CLARIUS 0.5mg/ml Sol.Buv. Fl 150ml;sirop;7
CLARIUS 5mg Comp.Pell. Bt 15;CLARIUS 5mg Comp.Pell. Bt 15;comprime;7
CLARIUS 5mg Comp.Pell. Bt 30;CLARIUS 5mg Comp.Pell. Bt 30;comprime;7
CLAVOR (8/1) 1gr/125mg Pdre.P.Susp.Or. Bt 24 Sachets;CLAVOR (8/1) 1gr/125mg Pdre.P.Susp.Or. Bt 24 Sachets;poudre;7
CLAVOR 100mg/12.5mg/ml Pdre.Susp.Or. Fl 60ml+pipette;CLAVOR 100mg/12.5mg/ml Pdre.Susp.Or. Fl 60ml+pipette;poudre;7
CLAVOR 1gr/125mg Pdre.P.Susp.Or.Sach. Bt 12;CLAVOR 1gr/125mg Pdre.P.Susp.Or.Sach. Bt 12;poudre;7
CLAVOR 500mg/62.5mg Comp. Pell. Bt 16;CLAVOR 500mg/62.5mg Comp. Pell. Bt 16;comprime;7
CLAVOR 500mg/62.5mg Comp.Pell. Bt 24;CLAVOR 500mg/62.5mg Comp.Pell. Bt 24;comprime;7
CLAVOR 500mg/62.5mg Pdre.Susp.Or. Bt 24 Sachets;CLAVOR 500mg/62.5mg Pdre.Susp.Or. Bt 24 Sachets;poudre;7
CLEDOS 400mg Gél. Bt 50;CLEDOS 400mg Gél. Bt 50;gelule;7
CLEDOS 800mg Comp.Pell. Fl 100;CLEDOS 800mg Comp.Pell. Fl 100;comprime;7
CLENIL 250µg Aérosol Fl 200 Doses;CLENIL 250µg Aérosol Fl 200 Doses;autre;7
CLIMASTON 1mg/10mg Comp.Pell. Bt 14+14;CLIMASTON 1mg/10mg Comp.Pell. Bt 14+14;comprime;7
CLIMASTON 1mg/5mg Comp pell. Bt 28;CLIMASTON 1mg/5mg Comp pell. Bt 28;comprime;7
CLIMASTON 2mg/10mg Comp pell. Bt 14+14;CLIMASTON 2mg/10mg Comp pell. Bt 14+14;comprime;7
CLIPTOL 5% GEL derm. Tb 50 grs;CLIPTOL 5% GEL derm. Tb 50 grs;gel;7
CLOBEX 500µg/gr Shampooing Bt 1Fl/125ml;CLOBEX 500µg/gr Shampooing Bt 1Fl/125ml;autre;7
CLOMIPRAMINE (CHLORHYDRATE) MYLAN 10mg Comp.Pell. Bt 60;CLOMIPRAMINE (CHLORHYDRATE) MYLAN 10mg Comp.Pell. Bt 60;comprime;7
CLOMIPRAMINE (CHLORHYDRATE) MYLAN 25mg Comp.Pell. Bt 50;CLOMIPRAMINE (CHLORHYDRATE) MYLAN 25mg Comp.Pell. Bt 50;comprime;7
CLOPIDOGREL PFIZER 75mg Comp.Pell. Bt 30;CLOPIDOGREL PFIZER 75mg Comp.Pell. Bt 30;comprime;7
CLOPIDOGREL PFIZER 75mg Comp.Pell. Bt 90;CLOPIDOGREL PFIZER 75mg Comp.Pell. Bt 90;comprime;7
CLOPIX 75mg Comp.Pell. Bt 30;CLOPIX 75mg Comp.Pell. Bt 30;comprime;7
CLOPIX 75mg Comp.Pell. Bt 60;CLOPIX 75mg Comp.Pell. Bt 60;comprime;7
CLOPIX 75mg Comp.Pell. Bt 90;CLOPIX 75mg Comp.Pell. Bt 90;comprime;7
CO-ALGESIC 500mg/30mg Comp.Séc. Bt 16;CO-ALGESIC 500mg/30mg Comp.Séc. Bt 16;comprime;7
CO-ARADEUX 150mg/12.5mg Comp.Pell. Bt 30;CO-ARADEUX 150mg/12.5mg Comp.Pell. Bt 30;comprime;7
CO-ARADEUX 150mg/12.5mg Comp.Pell. Bt 90;CO-ARADEUX 150mg/12.5mg Comp.Pell. Bt 90;comprime;7
CO-ARADEUX 300mg/12.5mg Comp.Pell. Bt 30;CO-ARADEUX 300mg/12.5mg Comp.Pell. Bt 30;comprime;7
CO-ARADEUX 300mg/12.5mg Comp.Pell. Bt 90;CO-ARADEUX 300mg/12.5mg Comp.Pell. Bt 90;comprime;7
CO-ARADEUX 300mg/25mg Comp.Pell. Bt 30;CO-ARADEUX 300mg/25mg Comp.Pell. Bt 30;comprime;7
CO-ARADEUX 300mg/25mg Comp.Pell. Bt 90;CO-ARADEUX 300mg/25mg Comp.Pell. Bt 90;comprime;7
CO-DOLICARE 500mg/30mg Comp. Bt 16;CO-DOLICARE 500mg/30mg Comp. Bt 16;comprime;7
CO-IRBESAR 150mg/12.5mg Comp. Bt 30;CO-IRBESAR 150mg/12.5mg Comp. Bt 30;comprime;7
CO-IRBESAR 150mg/12.5mg Comp. Bt 90;CO-IRBESAR 150mg/12.5mg Comp. Bt 90;comprime;7
CO-IRBESAR 300mg/12.5mg Comp. Bt 30;CO-IRBESAR 300mg/12.5mg Comp. Bt 30;comprime;7
CO-IRBESAR 300mg/12.5mg Comp. Bt 90;CO-IRBESAR 300mg/12.5mg Comp. Bt 90;comprime;7
CO-IRBESAR 300mg/25mg Comp. Bt 30;CO-IRBESAR 300mg/25mg Comp. Bt 30;comprime;7
CO-IRBESAR 300mg/25mg Comp. Bt 90;CO-IRBESAR 300mg/25mg Comp. Bt 90;comprime;7
CO-IRBESARTAN PFIZER 150mg/12.5mg Comp.Pell. Bt 30;CO-IRBESARTAN PFIZER 150mg/12.5mg Comp.Pell. Bt 30;comprime;7
CO-IRBESARTAN PFIZER 300mg/12.5mg Comp.Pell. Bt 30;CO-IRBESARTAN PFIZER 300mg/12.5mg Comp.Pell. Bt 30;comprime;7
CO-IRBESARTAN PFIZER 300mg/25mg Comp.Pell. Bt 30;CO-IRBESARTAN PFIZER 300mg/25mg Comp.Pell. Bt 30;comprime;7
CO-IRBY 150mg/12.5mg  Comp.Pell. Bt 30;CO-IRBY 150mg/12.5mg  Comp.Pell. Bt 30;comprime;7
CO-IRBY 300mg/12.5mg  Comp.Pell. Bt 30;CO-IRBY 300mg/12.5mg  Comp.Pell. Bt 30;comprime;7
CO-IRBY 300mg/25mg  Comp.Pell. Bt 30;CO-IRBY 300mg/25mg  Comp.Pell. Bt 30;comprime;7
CO-IRIVEL 150mg/12.5mg Comp.Pell. Bt 30;CO-IRIVEL 150mg/12.5mg Comp.Pell. Bt 30;comprime;7
CO-IRIVEL 150mg/12.5mg Comp.Pell. Bt 90;CO-IRIVEL 150mg/12.5mg Comp.Pell. Bt 90;comprime;7
CO-IRIVEL 300mg/12.5mg Comp.Pell. Bt 30;CO-IRIVEL 300mg/12.5mg Comp.Pell. Bt 30;comprime;7
CO-IRIVEL 300mg/12.5mg Comp.Pell. Bt 90;CO-IRIVEL 300mg/12.5mg Comp.Pell. Bt 90;comprime;7
CO-IRIVEL 300mg/25mg Comp. Pell. Bt 30;CO-IRIVEL 300mg/25mg Comp. Pell. Bt 30;comprime;7
CO-IRIVEL 300mg/25mg Comp.Pell. Bt 90;CO-IRIVEL 300mg/25mg Comp.Pell. Bt 90;comprime;7
CO-LOSAR 50mg/12,5mg Comp.Pell. Bt 30;CO-LOSAR 50mg/12,5mg Comp.Pell. Bt 30;comprime;7
CO-LOSAR 50mg/12.5mg Comp. Pell. Bt 60;CO-LOSAR 50mg/12.5mg Comp. Pell. Bt 60;comprime;7
CO-LOSAR 50mg/12.5mg Comp.Pell. Bt 90;CO-LOSAR 50mg/12.5mg Comp.Pell. Bt 90;comprime;7
CO-LOSAR FORT 100mg/25mg Comp.Pell.Séc. Bt 30;CO-LOSAR FORT 100mg/25mg Comp.Pell.Séc. Bt 30;comprime;7
CO-LOSAR FORT 100mg/25mg Comp.Pell.Séc. Bt 90;CO-LOSAR FORT 100mg/25mg Comp.Pell.Séc. Bt 90;comprime;7
CO-LOSAR PLUS 100mg/12.5mg Comp.Pell.Séc. Bt 30;CO-LOSAR PLUS 100mg/12.5mg Comp.Pell.Séc. Bt 30;comprime;7
CO-LOSAR PLUS 100mg/12.5mg Comp.Pell.Séc. Bt 90;CO-LOSAR PLUS 100mg/12.5mg Comp.Pell.Séc. Bt 90;comprime;7
CO-LOSARTAN ZENTIVA 100mg/25mg Comp. Pell. Fl 30;CO-LOSARTAN ZENTIVA 100mg/25mg Comp. Pell. Fl 30;comprime;7
CO-LOSARTAN ZENTIVA 50mg/12.5mg Comp.Pell.Séc. Fl 30;CO-LOSARTAN ZENTIVA 50mg/12.5mg Comp.Pell.Séc. Fl 30;comprime;7
CO-MEDZAR 50mg/12.5mg Comp.Pell.Séc. Bt 28;CO-MEDZAR 50mg/12.5mg Comp.Pell.Séc. Bt 28;comprime;7
CO-MEDZAR FORT 100mg/25mg Comp.Pell.Séc. Bt 28;CO-MEDZAR FORT 100mg/25mg Comp.Pell.Séc. Bt 28;comprime;7
CO-OLMETEC 20mg/12,5mg Comp Pell. Bt 30;CO-OLMETEC 20mg/12,5mg Comp Pell. Bt 30;comprime;7
CO-OLMETEC 20mg/25mg Comp Pell. Bt 30;CO-OLMETEC 20mg/25mg Comp Pell. Bt 30;comprime;7
CO-OLMETEC 40mg/12.5mg Comp.Pell. Bt 30;CO-OLMETEC 40mg/12.5mg Comp.Pell. Bt 30;comprime;7
CO-OLMETEC 40mg/25mg Comp.Pell. Bt 30;CO-OLMETEC 40mg/25mg Comp.Pell. Bt 30;comprime;7
CO-TAZAR 160mg/25mg Comp. Pell. Bt 30;CO-TAZAR 160mg/25mg Comp. Pell. Bt 30;comprime;7
CO-TAZAR 80mg/12.5mg Comp. Pell. Bt 30;CO-TAZAR 80mg/12.5mg Comp. Pell. Bt 30;comprime;7
CO-TENSOPRIL 50mg/25mg Comp. Bt 30;CO-TENSOPRIL 50mg/25mg Comp. Bt 30;comprime;7
CO-THERAPRIL 10mg/10mg Comp. Bt 30;CO-THERAPRIL 10mg/10mg Comp. Bt 30;comprime;7
CO-THERAPRIL 10mg/5mg Comp. Bt 30;CO-THERAPRIL 10mg/5mg Comp. Bt 30;comprime;7
CO-THERAPRIL 5mg/5mg Comp. Bt 30;CO-THERAPRIL 5mg/5mg Comp. Bt 30;comprime;7
CO-VALSARTAN ZENTIVA 160mg/25mg Comp.Pell. Bt 30;CO-VALSARTAN ZENTIVA 160mg/25mg Comp.Pell. Bt 30;comprime;7
CO-VALSARTAN ZENTIVA 80mg/12.5mg Comp.Pell. Bt 30;CO-VALSARTAN ZENTIVA 80mg/12.5mg Comp.Pell. Bt 30;comprime;7
CO-ZARTAN 50mg/12,5mg Comp.Pell.Séc.Bt 28;CO-ZARTAN 50mg/12,5mg Comp.Pell.Séc.Bt 28;comprime;7
CO-ZARTAN 50mg/12.5mg Comp.Pell.Séc. Bt 30;CO-ZARTAN 50mg/12.5mg Comp.Pell.Séc. Bt 30;comprime;7
CO-ZARTAN 50mg/12.5mg Comp.Pell.Séc. Bt 90;CO-ZARTAN 50mg/12.5mg Comp.Pell.Séc. Bt 90;comprime;7
CO-ZARTAN FORT 100mg/25mg Comp Pell. Bt 30;CO-ZARTAN FORT 100mg/25mg Comp Pell. Bt 30;comprime;7
CO-ZARTAN FORT 100mg/25mg Comp.Pell. Bt 90;CO-ZARTAN FORT 100mg/25mg Comp.Pell. Bt 90;comprime;7
COAPROVEL 150mg/12.5mg Comp.Pell. Bt 30;COAPROVEL 150mg/12.5mg Comp.Pell. Bt 30;comprime;7
COAPROVEL 150mg/12.5mg Comp.Pell. Bt 90;COAPROVEL 150mg/12.5mg Comp.Pell. Bt 90;comprime;7
COAPROVEL 300mg/12.5mg Comp.Pell. Bt 30;COAPROVEL 300mg/12.5mg Comp.Pell. Bt 30;comprime;7
COAPROVEL 300mg/12.5mg Comp.Pell. Bt 90;COAPROVEL 300mg/12.5mg Comp.Pell. Bt 90;comprime;7
COAPROVEL 300mg/25mg Comp.Pell. Bt 30;COAPROVEL 300mg/25mg Comp.Pell. Bt 30;comprime;7
COAPROVEL 300mg/25mg Comp.Pell. Bt 90;COAPROVEL 300mg/25mg Comp.Pell. Bt 90;comprime;7
COAPROZAR 150mg/12.5mg Comp.Pell. Bt 28;COAPROZAR 150mg/12.5mg Comp.Pell. Bt 28;comprime;7
COAPROZAR 150mg/12.5mg Comp.Pell. Bt 30;COAPROZAR 150mg/12.5mg Comp.Pell. Bt 30;comprime;7
COAPROZAR 150mg/12.5mg Comp.Pell. Bt 90;COAPROZAR 150mg/12.5mg Comp.Pell. Bt 90;comprime;7
COAPROZAR 300mg/12.5mg Comp.Pell. Bt 28;COAPROZAR 300mg/12.5mg Comp.Pell. Bt 28;comprime;7
COAPROZAR 300mg/12.5mg Comp.Pell. Bt 30;COAPROZAR 300mg/12.5mg Comp.Pell. Bt 30;comprime;7
COAPROZAR 300mg/12.5mg Comp.Pell. Bt 90;COAPROZAR 300mg/12.5mg Comp.Pell. Bt 90;comprime;7
COAPROZAR 300mg/25mg Comp. Pell. Bt 90;COAPROZAR 300mg/25mg Comp. Pell. Bt 90;comprime;7
COAPROZAR 300mg/25mg Comp.Pell. Bt 28;COAPROZAR 300mg/25mg Comp.Pell. Bt 28;comprime;7
COAPROZAR 300mg/25mg Comp.Pell. Bt 30;COAPROZAR 300mg/25mg Comp.Pell. Bt 30;comprime;7
COARAVEN 150mg/12.5mg Comp.Pell. Bt 30;COARAVEN 150mg/12.5mg Comp.Pell. Bt 30;comprime;7
COARAVEN 150mg/12.5mg Comp.Pell. Bt 90;COARAVEN 150mg/12.5mg Comp.Pell. Bt 90;comprime;7
COARAVEN 300mg/12.5mg Comp.Pell. Bt 30;COARAVEN 300mg/12.5mg Comp.Pell. Bt 30;comprime;7
COARAVEN 300mg/12.5mg Comp.Pell. Bt 90;COARAVEN 300mg/12.5mg Comp.Pell. Bt 90;comprime;7
COARAVEN 300mg/25mg Comp.Pell. Bt 30;COARAVEN 300mg/25mg Comp.Pell. Bt 30;comprime;7
COARAVEN 300mg/25mg Comp.Pell. Bt 90;COARAVEN 300mg/25mg Comp.Pell. Bt 90;comprime;7
COCCULINE Comp.Orodisp. Bt 40;COCCULINE Comp.Orodisp. Bt 40;comprime;7
CODOLIPRANE Ad. 400mg/20mg Comp. Séc. Bt 16;CODOLIPRANE Ad. 400mg/20mg Comp. Séc. Bt 16;comprime;7
COLCHICINE OPOCALCIUM 1mg Comp. Bt 20;COLCHICINE OPOCALCIUM 1mg Comp. Bt 20;comprime;7
COLIMYCINE 1MUI Pdre.P.Prép.Inj. Bt 50 Fl SS;COLIMYCINE 1MUI Pdre.P.Prép.Inj. Bt 50 Fl SS;injection;7
COLLARGOL 5% Pde.Derm.Tb 10gr;COLLARGOL 5% Pde.Derm.Tb 10gr;pommade;7
COLLUXID 0.1% Soluté Buccal Fl 120ml;COLLUXID 0.1% Soluté Buccal Fl 120ml;autre;7
COLLYRE BLEU LAITER Collyre Fl 10ml;COLLYRE BLEU LAITER Collyre Fl 10ml;gouttes;7
COLOSPASMYL 0.787g% Glés.P.Susp.Buv. Fl 250ml;COLOSPASMYL 0.787g% Glés.P.Susp.Buv. Fl 250ml;sirop;7
COLOSPASMYL 100mg Comp.Pell. Bt 30;COLOSPASMYL 100mg Comp.Pell. Bt 30;comprime;7
COLOSPASMYL 200mg Comp. Séc. Bt 15;COLOSPASMYL 200mg Comp. Séc. Bt 15;comprime;7
COLOSPASMYL 74.4mg Granulés P.Susp.Buv. Bt 30Sachets;COLOSPASMYL 74.4mg Granulés P.Susp.Buv. Bt 30Sachets;sirop;7
COLPRONE 5 5mg Comp. Bt 20;COLPRONE 5 5mg Comp. Bt 20;comprime;7
COLTRAMYL 4mg Comp.Séc. Bt 12;COLTRAMYL 4mg Comp.Séc. Bt 12;comprime;7
COMBIFOR 400mcg/12mcg Pdre.P.Inh.Bucc. Bt 120Gél (60Gél Aeronide+60Gél Aerofor);COMBIFOR 400mcg/12mcg Pdre.P.Inh.Bucc. Bt 120Gél (60Gél Aeronide+60Gél Aerofor);poudre;7
COMBIGAN Collyre Fl 5ml;COMBIGAN Collyre Fl 5ml;gouttes;7
COMTAN 200mg Comp. Pell. Fl 30;COMTAN 200mg Comp. Pell. Fl 30;comprime;7
CONCOR AMLO 10mg/10mg Comp. Bt 30;CONCOR AMLO 10mg/10mg Comp. Bt 30;comprime;7
CONCOR AMLO 10mg/5mg Comp. Bt 30;CONCOR AMLO 10mg/5mg Comp. Bt 30;comprime;7
CONCOR AMLO 5mg/10mg Comp. Bt 30;CONCOR AMLO 5mg/10mg Comp. Bt 30;comprime;7
CONCOR AMLO 5mg/5mg Comp. Bt 30;CONCOR AMLO 5mg/5mg Comp. Bt 30;comprime;7
CONNETTIVINA 2mg Compresse Imprégnée Stérile Bt 10/10x10cm;CONNETTIVINA 2mg Compresse Imprégnée Stérile Bt 10/10x10cm;comprime;7
CONNETTIVINA PLUS Compresse Imprégnée Stérile Bt 10/10x10cm;CONNETTIVINA PLUS Compresse Imprégnée Stérile Bt 10/10x10cm;comprime;7
CONNETTIVINA PLUS Crème Derm. Tb 25gr;CONNETTIVINA PLUS Crème Derm. Tb 25gr;pommade;7
CONTRATHION 2% Pdre.Prép.Inj. Bt 10+ Solv./10ml;CONTRATHION 2% Pdre.Prép.Inj. Bt 10+ Solv./10ml;injection;7
CONVERTAL 25mg Comp.Séc.Bt 30;CONVERTAL 25mg Comp.Séc.Bt 30;comprime;7
CONVERTAL 50mg Comp.Séc.Bt 30;CONVERTAL 50mg Comp.Séc.Bt 30;comprime;7
COPIGREL 75mg Comp.Pell. Bt 30;COPIGREL 75mg Comp.Pell. Bt 30;comprime;7
COPIGREL 75mg Comp.Pell. Bt 60;COPIGREL 75mg Comp.Pell. Bt 60;comprime;7
COPIGREL 75mg Comp.Pell. Bt 90;COPIGREL 75mg Comp.Pell. Bt 90;comprime;7
CORAPRIL 5mg/25mg Comp.Séc. Bt 30;CORAPRIL 5mg/25mg Comp.Séc. Bt 30;comprime;7
CORAPRIL 5mg/25mg Comp.Séc. Bt 90;CORAPRIL 5mg/25mg Comp.Séc. Bt 90;comprime;7
CORDARONE  150mg Sol.Inj. Bt 6/3ml;CORDARONE  150mg Sol.Inj. Bt 6/3ml;injection;7
CORDARONE 200mg Comp.Séc. Bt 20;CORDARONE 200mg Comp.Séc. Bt 20;comprime;7
CORICIDE LE DIABLE 12,5% Sol.Ext. Fl 4gr;CORICIDE LE DIABLE 12,5% Sol.Ext. Fl 4gr;autre;7
CORICIDE VERRUCIDE LIQUIDE Sol.Ext. Fl 5ml;CORICIDE VERRUCIDE LIQUIDE Sol.Ext. Fl 5ml;autre;7
CORNEREGEL  5% Gel Ophtal. Tb 10gr;CORNEREGEL  5% Gel Ophtal. Tb 10gr;gel;7
COROTROPE 10mg/10ml Sol. Inj  Bt 10x10ml;COROTROPE 10mg/10ml Sol. Inj  Bt 10x10ml;injection;7
CORRECTOL Collyre Fl 10ml;CORRECTOL Collyre Fl 10ml;gouttes;7
CORTEF 10mg Comp.Séc. Fl 100;CORTEF 10mg Comp.Séc. Fl 100;comprime;7
CORTEMA 0,01% Lotion Fl 30ml;CORTEMA 0,01% Lotion Fl 30ml;autre;7
CORTEMA 0.01 0,01% Pde. Derm. Tb 50gr;CORTEMA 0.01 0,01% Pde. Derm. Tb 50gr;pommade;7
CORTEMA 0.01 0.01% Pde.Derm. Tb 20gr;CORTEMA 0.01 0.01% Pde.Derm. Tb 20gr;pommade;7
CORTEMA APG 0,05% Crème Derm. Tb 15gr;CORTEMA APG 0,05% Crème Derm. Tb 15gr;pommade;7
CORTEMA GEL 0,025% Gel Derm. Tb 30gr;CORTEMA GEL 0,025% Gel Derm. Tb 30gr;gel;7
CORTEMA GRAS 0,05% Pde. Derm. Tb 15gr;CORTEMA GRAS 0,05% Pde. Derm. Tb 15gr;pommade;7
CORTEMA NEOMYCINE  0.5% Pde. Derm. Tb 15gr;CORTEMA NEOMYCINE  0.5% Pde. Derm. Tb 15gr;pommade;7
CORTINASE 64mcg/Dose Susp.Nas. Fl 120 doses;CORTINASE 64mcg/Dose Susp.Nas. Fl 120 doses;autre;7
CORTINEF 0.1mg Comp. Bt 20;CORTINEF 0.1mg Comp. Bt 20;comprime;7
